,bpm,key_signature,chords,song_name
0,94.00012846684223,d minor,"['-', 'v7', 'v7', 'v7', 'i53', 'i53', 'v7', 'v7', 'v7', 'i53', 'i53', 'V7M7', 'v7', 'V7M7', 'i53', 'i53', 'V7M7', 'V7M7', 'V7M7', 'i53', 'i53', 'VI7', 'VI7', 'v', 'v', 'VI7', 'VI7', 'v', 'v', 'iv7', 'VI53', 'ii', 'VII', 'v53', '#vi42', 'VI64', 'VI53', 'v53', 'VI53', 'v6', 'v', 'v7', 'v7', 'i', 'i53', 'v7', 'v7', 'i', 'i53', 'v', 'v', 'V53', 'v', 'VI7', 'V53', 'ii65', 'VI53', 'ii', 'ii', 'v53', '#vi', '#vi64', 'VI53', 'v53', 'v53', 'VI53', 'v53', 'ii', 'ii', 'v53', 'ii', 'ii', 'v64', 'ii', 'ii', 'VII65', 'V', 'ii', 'ii', 'v53', 'ii', 'ii', 'v53', 'v53', 'v53', 'v53']",'O mare e tu
0,110.00011000011,G major,"['IV42', 'IV42', 'I', 'IV42', 'vi', 'I', 'IV', 'I', 'iii7', 'iii7', 'vi43', 'I', 'II', 'iii53', 'I', 'I', 'iii7', 'iii7', 'I', 'vi43', 'iii53', 'iii', 'iii42', 'I', 'ii7', 'II', 'V', 'vi43', 'ii7', 'II', 'vi', 'I', 'IV42', 'IV42', 'I', 'I', 'IV', 'I', 'I', 'I', 'i']",'O scarrafone.1
0,105.000105000105,G major,"['-', 'vi', 'iv42', 'vi7', 'iv42', 'vi7', 'vi65', 'ii65', 'ii65', 'ii65', 'vi65', 'ii65', 'ii65', 'ii65', 'ii', 'ii65', 'ii65', 'v42', 'ii65', 'v42', 'ii', 'v42', 'ii65', 'v42', 'ii', 'v42', 'iii', 'iii65', 'iii65', 'vi42', 'ii', 'ii42', 'ii65', 'vi42', 'ii43', 'ii42', 'ii', 'ii65', 'I6', 'iii53', 'I', 'iii64', 'I6', 'iii53', 'I', 'iii64', 'ii65', 'ii65', 'vi65', 'ii65', 'ii65', 'iv', 'iii', 'iii65', 'iii65', 'vi42', 'ii', 'ii42', 'ii65', 'vi42', 'ii43', 'ii42', 'ii65', 'ii', 'I6', 'iii53', 'I', 'iii64', 'I6', 'iii53', 'I', 'iii64', 'ii', 'ii65', 'ii', 'ii65', 'ii', 'iii7', 'iii65', 'iii65', 'vii42', '#iv7', 'ii', 'ii65', 'I', 'v42', 'iii', 'vi43', 'ii', 'vi42', 'v', 'ii65', 'i', 'i', 'v', 'ii65']",'O scarrafone
0,100.0,e- minor,"['-', '-', '#iv7', '#iv7', 'VII7', '#iii7', '#vi7', '#i', 'i', '##iii', 'I7', 'I7', '##iii', '#III', '#vi7', '#vi7', 'ii', 'i', '#v', 'VII', '#ii43', '##iii', 'i42', '#vi7', 'i', 'II53', '#ii42', '#v', '#v', '##iii7', 'vi42', 'V', '#i', 'II7', '#III', 'II', '##iii', 'i', 'ii7', '#vi65', 'i', '##iii6', '#vi7', '#vi7', 'ii', '#I42', '#vi43', '#v', 'V', '#vii', 'V', '#iii6', '#vi', '#vi7', 'i', 'ii', '#I43M7', '#vi65', '##iii7', '#v64', 'i', '#IV7', '##iii6', 'i', '#vi7', 'i', '#vi', 'ii', '##iii', 'i', '#v', '#III7', '#i', '#IV42', '#iii65', '#iii6', '#iv', '##iii6', 'i43', '#vi7', 'I', 'i43', '#i', '##iii53', 'I', 'i', '#ii65', '#III', '##iii', '#vi7', '#vi7', 'II', '#I42', 'i6', '#v', 'VII', '#i', '#i43', 'i43', '#ii43', '#vii', '#vi7', 'II7', 'II', '#IV64', '#iv', 'VII', 'i', '#III', '#i65', '#vii', 'V', '#I42M7', 'I53', 'I53', '#vi65', 'i']",'Round Midnight
0,82.00160449806134,D major,"['-', '-', 'I53', 'I53', 'v', 'vi43', 'v43', 'I', 'I53', 'i42', 'I53', 'vi53', 'iii7', 'i42', 'vi53', 'ii', 'I53', 'vi53', 'iii53', 'V53', 'II53', 'vi53', 'iii53', 'V65M7', 'I53', 'ii', 'I53', 'vi', 'V', 'i', 'vi64', 'iv42', 'I53', 'I53', 'v', 'vi43', 'I64', 'I53', 'I53', 'V7', 'I53', 'IV53', 'V53', 'iii6', 'I6', 'ii7', 'I53', 'vi53', 'iii53', 'V53', 'II53', 'vi53', 'iii53', 'V65M7', 'I53', 'IV', 'I53', 'vi', 'V53', 'i', 'vi64', 'iv42', 'I53', 'I53', 'v', 'vi43', 'I64', 'I53']",'t Is weer voorbij die mooie zomer.1
0,160.0,D major,"['-', '-', '-', '-', 'I53', 'I53', 'I53', 'I', 'I53', 'v', 'I53', 'I53', 'vi53', 'IV', 'I53', 'I53', 'I53', 'v', 'I53', 'I53', 'vi53', 'v', 'I', 'I53', 'vi7', 'vi7', 'iii53', 'iii53', 'V53', 'V53', 'II6', 'II53', 'vi53', 'vi53', 'iii53', 'iii53', 'V53', 'V42M7', 'I6', 'I53', 'IV53', 'V53', 'I64', 'I64', 'vi53', 'IV53', 'I53', 'V53', 'I53', 'V53', 'vi53', 'II53', 'IV53', 'V53', 'I64', 'I53', 'I53', 'I53', 'I53', 'V53', 'I53', 'I64', 'vi53', 'IV53', 'I64', 'I53', 'I53', 'V53', 'I53', 'I64', 'vi53', 'V53', 'I64', 'I53', 'vi53', 'vi53', 'iii6', 'iii53', 'V53', 'V53', 'II64', 'II6', 'vi53', 'vi53', 'iii6', 'iii53', 'V53', 'V53', 'i', 'I6', 'IV64', 'V53', 'I64', 'I64', 'vi6', 'IV6', 'iii', 'V53', 'I53', 'V6', 'vi6', 'II53', 'IV64', 'V53', 'I', 'I', 'I', 'I64', 'I53', 'V53', 'I64', 'I64', 'vi53', 'IV53', 'I64', 'I53', 'I53', 'V53', 'I53', 'I64', 'vi53', 'V53', 'I64', 'I53', 'vi53', 'vi53', 'iii6', 'iii53', 'V53', 'V53', 'II64', 'II6', 'vi53', 'vi53', 'iii6', 'iii53', 'V53', 'V53', 'i', 'I6', 'IV64', 'V53', 'I64', 'I64', 'vi6', 'IV6', 'iii', 'V53', 'I53', 'V6', 'vi6', 'II53', 'IV64', 'V53', 'I', 'I', 'I', 'I64']",'t Is weer voorbij die mooie zomer
0,95.00134585239957,G major,"['-', 'I64', 'I64', 'i', 'I53', 'vi65', 'ii', 'i', 'I64', 'ii', 'V53', 'v7', 'I53', 'v', 'i', 'i', 'I53', 'IV', 'i', 'vii6', 'vi42', 'i', 'vii', 'V53', 'v7', 'I53', 'V53', 'i', 'i', 'iii', 'II64', 'ii43', 'vi7', 'ii', 'iii42', 'II64', 'iii43', 'vi7', 'ii', 'ii']",'t Is zo weer voorbij
0,119.0003966679889,F major,"['-', 'V53', 'bVII53', 'VI53', 'i', 'V53', 'iv', 'I53', 'i', 'V53', 'bVII53', 'VI53', 'i', 'V53', 'iv', 'I53', 'i', 'V6', 'bVII53', 'I53', 'V53', 'V', 'bVII', 'I64', 'V53', 'V53', 'bVII53', 'I64', 'V53', 'V53', 'v7', 'I64', 'vi7', 'v', 'v', 'I64', 'V53', 'v', 'v7', 'I', 'V53', 'V53', 'bVII53', 'vi65', 'V53', 'V53', 'bVII53', 'vi65', 'v', 'V', 'bvii', 'I', 'v', 'V', 'bVII', 'I', 'v', 'V53', 'bVII64', 'i', 'V53', 'v', 'v7', 'I64', 'V64', 'v', 'bVII6', 'I53', 'V6', 'v', 'bVII6', 'I53', 'V64', 'V53', 'bVII53', 'vi65', 'V53', 'V53', 'bVII53', 'vi65', 'V53', 'V53', 'bVII53', 'vi65', 'V53', 'V53', 'bVII53', 'vi65', 'v', 'V', 'bvii', 'I', 'v', 'V', 'bVII', 'I', 'v', 'v', 'v6', 'I53', 'v', 'v', 'v53', 'I53', 'iii', 'v', 'bVII6', 'vi65', 'V64', 'v', 'bVII6', 'i', 'i', 'V53', 'V53', 'V53', 'bVII53', 'vi65', 'V53', 'V53', 'bVII53', 'vi7', 'V53', 'V53', 'bVII53', 'vi65', 'V53', 'V53', 'bVII53', 'vi65', 'v', 'V', 'bvii', 'I', 'v', 'V', 'bVII', 'I', 'v', 'V64', 'bvii', 'I', 'v', 'V', 'bVII', 'I', 'v7', 'V', 'bVII']",Nessun dolore
0,116.00008506672904,f# minor,"['-', 'iii7', 'iii7', 'iii7', 'VI53', 'iii7', 'iii7', 'iii7', 'VI53', 'iii7', 'iii7', 'iii7', 'VI53', 'iii7', 'iii7', 'iii7', 'VI53', 'iii7', 'iii7', 'iii7', 'VI53', 'iv', 'iv', 'iv', 'iv', 'iv', 'iv', 'iv', 'iv', 'bv', 'bv', 'biv', 'bi', 'iii7', 'iii7', 'iii7', 'VI', 'iii7', 'iii7', 'iii7', 'VI', 'iii43', 'iii43', 'iii7', 'VI', 'iii7', 'iii7', 'iii7', 'VI', 'iii43', 'iii43', 'iii7', 'VI', 'iv', 'iv', 'iv', 'iv', 'iv', 'iv', 'iv', 'iv', 'bv', 'bv', 'biv', 'bi', 'III53', 'III53', 'iii', 'iii', 'iii', 'v64', 'III53', 'v53', 'III53', 'v64', 'III53', 'v53', 'III53', 'v64', 'bv', 'bIV64', 'bi', 'bi', 'bvii', 'bvii', 'bvii', 'bvii', 'bvii', 'iii42', 'ii7', 'iii42', 'bvii', 'bvii', 'bvii', 'bvii', 'v64', 'ii7', 'bvii', 'iii42', 'ii7', 'III42', 'v43', 'v', 'vi', 'v', 'bv', 'iv', 'iv', 'iv', 'iv', 'iv', 'iv', 'iv', 'iv', 'iv', 'bv', 'bv', 'biv', 'bi', 'III53', 'III53', 'iii', 'iii', 'iii', 'v64', 'III53', 'v53', 'III53', 'v64', 'III53', 'v53', 'III53', 'v64', 'bv', 'bIV64', 'bi', 'bi', 'v64', 'III53', 'v53', 'III53', 'v64', 'III53', 'v53', 'III53', 'v64', 'III53', 'v53', 'III53', 'vi7', 'v', 'v', 'iv']",Nessun pericolo... per te
0,76.99997818333952,F major,"['-', 'IV53', 'V53', 'IV53', 'vi42', 'I6', 'V53', 'I53', 'V53', 'vi53', 'IV53', 'I53', 'V', 'vi53', 'I53', 'vi53', 'I53', 'V', 'iv', 'I53', 'v', 'IV53', 'vii42', 'IV53', 'vii42', 'IV53', 'V53', 'IV53', 'V53', 'I53', 'V53', 'I53', 'V53', 'vi53', 'IV53', 'I53', 'V', 'vi53', 'I53', 'vi53', 'I53', 'V', 'iv', 'I53', 'v', 'IV53', 'vii42', 'IV53', 'vii42', 'IV53', 'V53', 'IV53', 'vi42', 'IV53', 'V', 'IV53', 'vii42', 'IV53', 'V53', 'IV53', 'V53', 'IV53', 'ii43', 'IV53', 'ii43', 'IV53', 'V53', 'IV53', 'V53', 'I64', 'I53']",Nessun rimpianto.1
